1101,58460,94824
1107,130316,0
1401,,
1402,4050,0
1403,2532,
1404,2300,0
1405,12925,20749
2101,409807,269533
2102,11263,
2103,8287,35608
2104,,
2201,283236,180901
2202,2500,0
2203,30328,
2301,20428,
2302,6410,0
3101,,
3102,170367,22206
3103,5000,16000
3201,13878,569
3202,28600,57000
3301,102233,58013
3302,25215,0
3303,40078,0
3304,15511,58584
4101,941514,1196588
4102,1499157,91306
4103,76,52
4104,25593,23600
4105,9445,0
4106,96690,190000
4201,46244,11500
4202,22805,0
4203,45772,44897
4204,24543,33253
4301,424,318
4302,450,0
4303,16411,50406
4304,8094,0
4305,6819,
5101,464470,0
5102,32389,0
5103,61528,45387
5104,9500,4082
5105,10800,0
5107,114852,2384614702
5109,809912,566972
5201,9811,0
5301,282110,60000
5302,24383,0
5303,37997333,0
5304,20400,0
5401,,
5402,14878,9800
5403,20000,11000
5404,13993,0
5405,41166,26300
5501,226379,197748
5502,138742,66
5503,26500,40500
5504,50727,0
5506,123,0
5601,372936,26443
5602,137009,56063
5603,45000,68500
5604,97868,0
5605,60375,0
5606,197616,177150
5701,431219,110897
5702,7063,0
5703,4885,59207
5704,71335,0
5705,3014,45937
5706,10000,0
5801,427656,0
5802,261000,19552
5803,18182,0
5804,,
6101,1628888,298922
6102,61072,0
6103,21812,0
6104,68919,5000
6105,45950,0
6106,199788,21351
6107,43622,
6108,385998,70000
6109,40402,0
6110,39861,0
6111,31974,0
6112,45761,6000
6113,36280,0
6114,23368,2329
6115,366952,56000
6116,7093,0
6117,168198,0
6201,117519,18485
6202,11000,0
6203,12380,0
6204,31372,14557
6205,13000,37900
6206,29300,20000
6301,231241,97286
6302,40788,0
6303,94330,7800
6304,20880,40912
6305,62855,40000
6306,39252,20600
6307,29800,49000
6308,24000,
6309,7325,0
6310,162000,240000
7101,1329575,462725
7102,19850,50000
7103,7800,9400
7104,15523,140000
7105,2299,103771
7106,17140,0
7107,24800,0
7108,33325,23069
7109,,
7110,7192,0
7201,128488,25000
7202,17601,1900000
7203,20377,27000
7301,711759,92095
7302,7939,0
7303,26207,0
7304,225308,0
7305,57156,0
7306,22839,24000
7307,64058,0
7308,106210,0
7309,8830,4550
7401,32972,38148
7402,15601,0
7403,59800,0
7404,20067,0
7405,32974,21622
7406,153114,11620
7407,3600,11974
7408,18200,0
8101,99436,307408
8102,,
8103,421595,44061
8104,14720,0
8105,2,0
8106,,
8107,17300,17600
8108,1265443,221518
8109,30000,93000
8110,786545,380707
8111,112173,77995
8112,377259,43736
8201,53000,39075
8202,23662,19400
8203,13151,138000
8204,10000,40000
8205,29388,0
8206,4540,0
8207,7043,92957
8301,977593,327762
8302,20277,0
8303,76608,0
8304,33629,0
8305,11020,4417
8306,70681,37498
8307,65500,9000
8308,27515,0
8309,15263,6470
8310,8000,12000
8311,24525,14481
8312,40000,0
8313,68122,0
8314,23910,0
9101,123165,276260
9102,17430,40250
9103,28498,4401
9104,14710,49104
9105,47362,0
9106,10816,8350
9107,19770,8698
9108,100,380000
9109,30000,0
9110,,
9111,14017,42000
9112,91165,54232
9113,18543,0
9114,20000,160000
9115,94388,44533
9116,26500,68000
9117,43250,0
9118,21275,5200
9119,78000,0
9120,223886,202442
9121,15437,0
9201,209000,51000
9202,21300,70000
9203,10000,0
9204,36450,0
9205,39693,0
9206,77675,31200
9207,29550,6432
9208,10363,15000
9209,45802,0
9210,13200,32200
9211,24000,24100
10101,882370,154440
10102,13983,10711
10103,,
10104,19343,0
10105,69345,0
10106,18000,0
10107,121924,
10108,24599,185178
10109,111752,81468
10201,93000,83000
10202,160566,0
10203,15884,0
10204,5341,0
10205,5000,10920
10206,,
10207,10834,0
10208,21906,0
10209,3800,0
10210,1200,0
10301,633325,559772
10302,20600,23350
10303,166265,45000
10304,,
10305,7649,135
10306,28000,0
10307,,
10401,11880,0
10402,15000,0
10403,8000,7000
10404,7763,0
11101,418652,0
11102,2870,21400
11201,10000,8000
11202,27853,0
11203,250,600
11301,29940,45735
11302,11072,9028
11303,1500,0
11401,49121,0
11402,47641,0
12101,28000,290300
12102,,
12103,,
12104,10647,0
12201,7173,16879080
12301,14585,73369
12302,17283,0
12303,1255,0
12401,94500,70000
12402,7170,0
13101,330216,1578022
13102,73465,712282
13103,500466,446433
13104,388576,72127
13105,432498,48564
13106,662571,168000
13107,439745,1881421
13108,79318,23520
13109,102607,10000
13110,1518203,83738
13111,243414,440453
13112,779145,216300
13113,442931,0
13114,1636790,362000
13115,959924,598328
13116,213581,46785
13117,250717,135403
13118,443579,85595
13119,2661113,680416
13120,583314,262130
13121,136241,429839
13122,1179088,594373
13123,212347,418630
13124,896241,238371
13125,814723,5000
13126,145303,343633
13127,443930,382219
13128,862181,164000
13129,315000,161612
13130,99362,74717
13131,382145,92000
13132,237461,373750
13201,2576707,252712
13202,58082,0
13203,40210,0
13301,638619,242683
13302,752055,0
13303,42722,55649
13401,1372230,202919
13402,,
13403,50854,0
13404,153982,20100
13501,43455,46753
13502,23155,15095
13503,94434,5400
13504,22050,0
13505,16291,0
13601,317721,114700
13602,90000,0
13603,85595,0
13604,290000,24000
13605,230166,301078
14101,112083,322352
14102,4163,332763200
14103,35928,0
14104,,
14105,15400,100000
14106,55000,35000
14107,48783,0
14108,23246,98050
14201,225706,20000
14202,24799,0
14203,19448,38139
14204,28000,0
15101,358253,153181
15102,1000,0
15201,12401,0
15202,2500,0
16101,645000,71000
16102,85380,0
16103,108911,30497
16104,29585,0
16105,15625,0
16106,25910,0
16107,7362,0
16108,28459,0
16109,17500,0
16201,,
16202,,
16203,23872,0
16204,19081,51512
16205,10000,0
16206,7338,20375
16207,5500,7500
16301,168800,82226
16302,21282,0
16303,21925,0
16304,9500,0
16305,36300,4180